Name,Ticker,Sector,Description
EUNISELL INTERLINKED PLC,EUNISELL,SERVICES,"Eunisell Interlinked Plc, formerly Interlinked Technologies Plc, is a Nigeria-based company, which is focused on component design and manufacture, systems design and upgrades, procurement and installation of complete power distribution substations. The company additionally serves as a distributor and representative for various multinational corporations. It distributes a wide range of engineering and technical products, including cable accessories and machine spare parts, servicing and supplying the products to a wide range of industries/companies."
FBN HOLDINGS PLC [CG+],FBNH,FINANCIAL SERVICES,"FBN Holdings Plc is a financial holding company. The Company and its subsidiaries are engaged in the provision of commercial banking services, investment banking services, insurance business, other financial services, merchant banking and other equity investments. Its business units include Commercial Banking business group, Merchant Banking and Asset Management business group (MBAM), Insurance business group and Other Financial Services business group. The Commercial Banking business group provides both individual and corporate clients/customers with financial intermediation services. The MBAM provides asset management, markets and private equity services to corporations and governments' clientele, as well as merchant banking services. The Insurance business group segment includes insurance brokerage business and underwriting business. The Other Financial Services business group segment includes non-operating holding company and other non-banking financial services businesses."
FCMB GROUP PLC.,FCMB,FINANCIAL SERVICES,"FCMB Group Plc is a financial services company. The Company's business activities include commercial and retail banking, investment banking, brokerage, wealth management and trustee services. It operates through six segments: Investment Banking, which provides services to corporate organizations; Business Banking, which provides banking services to small and medium enterprises and commercial registered businesses; Corporate Banking, which includes direct debit facilities, current accounts, deposits, overdrafts, loan and other credit facilities, foreign currency and derivative products; Personal Banking that includes private banking services, private customer current accounts, savings, deposits, investment savings products, custody, credit and debit cards, consumer loans and mortgages; Institutional Banking that caters to government financing, financial institutions and multilateral agencies, and Treasury and Financial Markets that provides funding support to various business segments."
FIDELITY BANK PLC [CG+],FIDELIT,FINANCIAL SERVICES,"Fidelity Bank Plc provides various banking and financial products and services to corporate and individual customers in Nigeria. The company offers current, savings, fixed deposit, domiciliary, money market, and small business accounts; asset leasing, personal loan, and instant salary advance schemes; bills settlements, cash management, and asset management; mortgages, asset finance, margin trading facilities, bank guarantees, standby letters of credit, and cash backed facilities; treasury and foreign exchange, and safekeeping services; and advisory, investment management, estate planning, money transfer, and other investment services. Its corporate banking products and services comprise loans and advances, trade finance, working capital finance, project finance, asset finance, syndicate finance, term loans, lease, guarantees and bonds issuance, franchise financing, letters of credit, money market services, treasury and liquidity management services, distributors and suppliers finance schemes, receivables discounting and factoring services, corporate finance and advisory services, and transaction banking and cash management services. In addition, the company offers commercial support overdrafts and short term loans, and development funds; agriculture banking services; and equipment leasing, online banking, mobile money, instant banking, point of sale terminal, online payment, and ATM services, as well as cards. It primarily serves its customers through 250 business offices. The company was formerly known as Fidelity Union Merchant Bank Limited and changed its name to Fidelity Bank Plc in 1999. Fidelity Bank Plc was incorporated in 1987 and is headquartered in Lagos, Nigeria."
FIDSON HEALTHCARE PLC,FIDSON,HEALTHCARE,"Fidson Healthcare Plc engages in the manufacture and distribution of pharmaceutical products in Nigeria. The company operates through Over-the-Counter, Ethical Products, and Consumer segments. It offers drugs, injectables, and infusions. The company provides anti-infective products, including anti-bacteria, anti-fungal, and anti-malaria products; antihistamines; cardiovascular medicines, such as anti-hypertensive products and lipid-lowering agents; cough and cold products; gastrointestinal medicines comprising antacid and anti-ulcer medicines; hepatoprotectives; medicines affecting the blood; and neuropsychiatry products, such as antidepressants and anxiety medicines. It also offers pain and palliative care products, including analgesics; supplements, such as anti-osteoarthritis, cestra products, and herbal supplements; topical/dermatological medicines; and vitamins and minerals comprising multivitamins, as well as provides household items. Fidson Healthcare Plc was incorporated in 1995 and is headquartered in Lagos, Nigeria."
FLOUR MILLS NIG. PLC. [CG+],FLOURMI,CONSUMER GOODS,"Flour Mills of Nigeria Plc is engaged in flour milling; production of pasta, noodles, edible oil and refined sugar; production of livestock feeds; farming and other agro-allied activities; distribution and sale of fertilizer; manufacturing and marketing of laminated woven polypropylene sacks and flexible packaging materials; operation of terminals A and B at the Apapa port, and customs clearing, forwarding and shipping agents and logistics. Its segments are Food, which mills and sells flour and rice, and produces and sells pasta, snacks, sugar and noodles; Agro Allied, which farms maize, cassava, soya, sugar cane and oil palm, and produces and sells fertilizers, edible oils and livestock feeds; Packaging, which manufactures and markets laminated woven polypropylene sacks and packing materials; Port operations and logistics, which includes port terminal operations, customs clearing and forwarding, shipping and haulage services, and Real estate, which leases investment property."
FTN COCOA PROCESSORS PLC [RST],FTNCOCO,AGRICULTURE,"FTN Cocoa Processors Plc is a Nigeria-based agro allied company. The Company is engaged in the processing of Cocoa Beans and Palm Kernel into Cocoa Cake, Liquor, Butter, Powder, Palm Kernel Oil and Palm Kernel cake. The Company exports cocoa cake, liquor and butter to local manufacturing companies. The Company markets cocoa powder, palm kernel oil and palm kernel cakes to local manufacturing companies."
GLAXO SMITHKLINE CONSUMER NIG. PLC. [CG+],GLAXOSM,HEALTHCARE,"GlaxoSmithKline Consumer Nigeria Plc manufactures, markets, and distributes of consumer healthcare and pharmaceutical products in Nigeria. It operates through two segments, Consumer Healthcare and Pharmaceuticals. The Consumer Healthcare segment offers oral care, over-the-counter (OTC) medicine, and nutritional healthcare products. The Pharmaceuticals segment provides antibacterial, vaccines, and prescription drugs. The company also provides pain relief medicine under the Panadol and Voltaren brands; digestive health products under the brand Andrews Liver Salts; oral health products under the Macleans and Sensodyne brands; and respiratory medicine under the Panadol Cold & Catarrh and Otrivin brands. The company was formerly known as Beecham Limited and changed its name to GlaxoSmithKline Consumer Nigeria Plc. GlaxoSmithKline Consumer Nigeria Plc was incorporated in 1971 and is headquartered in Lagos, Nigeria."
GLOBAL SPECTRUM ENERGY SERVICES PLC,GSPECPLC,SERVICES,"Global Spectrum Energy Services Plc operates as an oil and gas offshore support vessel servicing company in West Africa. The company offers offshore marine support and port services, ROV services, maritime secure security and protection services, integrated logistics management, and marine salvage wreck removal and emergency response, as well as marine crew management, recruitment, training, and consulting services; and environmental services, towage and pilotage services, maritime security and security audit services, maritime survey, ocean towing, barge conveyance, and other marine transportation services. It is also involved in subsea construction and installation; supply of vessels, patrol boats, and anchor handling tugs, as well as maritime machinery equipment, spare parts, and consumables; and supply and distribution of refined petroleum products. The company was incorporated in 2006 and is headquartered in Lagos, Nigeria. As of January 9, 2020, Global Spectrum Energy Services Plc operates as a subsidiary of Aspiral Sun Ltd."
GOLDEN GUINEA BREW. PLC. [BLS],GOLDBRE,CONSUMER GOODS,"Golden Guinea Breweries Plc engages in the brewing, packaging, marketing, and distribution of lager beer, malta, and stout in Nigeria. The company was incorporated 1962 and is based in Umuahia, Nigeria. Golden Guinea Breweries Plc is a subsidiary of Pan Marine Investments Limited."
GREIF NIGERIA PLC,VANLEER,INDUSTRIAL GOODS,"Greif Nigeria Plc engages in the manufacturing and marketing of steel drums in Nigeria. The company was formerly known as Van Leer Containers Nigeria Plc and changed its name to Greif Nigeria Plc in May 2004. The company was incorporated in 1940 and is based in Lagos, Nigeria. Greif Nigeria Plc is a subsidiary of Greif International Holding B.V."
GUARANTY TRUST HOLDING COMPANY PLC [CG+],GTCO,FINANCIAL SERVICES,"Guaranty Trust Holding Company Plc is a Nigeria-based financial holding company. The Company, through Guaranty Trust Bank Limited (the Bank), provides commercial banking service. The Bank offers personal banking and business banking services. The Bank provides financial services and products to individuals, businesses, and institutions, both private and public."
GUINEA INSURANCE PLC.,GUINEAI,FINANCIAL SERVICES,"Guinea Insurance Plc provides various general insurance products and services to individuals and corporate organizations in Nigeria. The company offers fire and special perils, burglary/theft, all risk, workmen’s compensation, personal accident, motor, public liability, bonds, contractors all risk, erection all risk, machinery breakdown, marine cargo, marine hull, fidelity, oil and gas, aviation, consequential loss, house owners/householders, money, professional indemnity, electronic equipment, goods-in-transit, plant all-risk, travel, and home shield insurance products and services. It also offers e-insurance, and reinsurance products and services. The company was founded in 1948 and is based in Lagos, Nigeria."
GUINNESS NIG PLC [CG+],GUINNES,CONSUMER GOODS,"Guinness Nigeria Plc is a beverage manufacturing company. The Company offers beverages under various categories, such as spirits, beers, ready-to-drink and non-alcoholic. The Company is engaged in brewing, packaging, marketing and selling of Guinness Foreign Extra Stout, Guinness Extra Smooth, Malta Guinness, Malta Guinness Low Sugar, Harp Lager, Smirnoff Ice, Satazenbrau Lager, Dubic Lager, Dubic Dark Ale, Snapp, Topmalt, Alvaro, Master's Choice, Orijin Spirit Mixed Drink, Orijin Bitters and Smirnoff Ice Double Black with Guarana, Guinness Africa Special and Orijin Zero non-alcoholic. The Company's other brands include Gordon's Spark, Armstrong Dark Ale, Satzenbrau Pilsner, Top Malt, Harp Lime, Dubic Extra Lager, Johnnie Walker Black, Johnnie Walker Red, Johnnie Walker Blue, Ciroc, Baileys and Master's Choice. The Company has approximately three breweries, which are located at Lagos, Benin and Aba. It primarily operates in Nigeria."
HONEYWELL FLOUR MILL PLC [CG+],HONYFLO,CONSUMER GOODS,"Honeywell Flour Mills Plc is a flour milling company. The Company is principally engaged in the manufacturing and marketing of wheat-based food products, such as flour, semolina, whole wheat meal, noodles and pasta. Its operating segments include Apapa and Ikeja. The Apapa factory is engaged in the manufacturing of flour, semolina, wheat meal and brown flour, while the Ikeja factory is engaged in the manufacturing of noodles and pasta. The Company produces and markets approximately seven product brands, such as Honeywell Superfine Flour, Honeywell Wheat Meal, Honeywell Semolina, Honeywell Noodles, Honeywell Pasta, Honeywell Composite Flour and Honeywell Brown Flour. Its Honeywell Pasta brand's variants include Macaroni and Spaghetti. Honeywell Composite Flour is used mainly for baking bread, and is also used for baking cakes, biscuits, pastries and other confectioneries. Honeywell Noodles comes in over four flavors, including Chicken, Curry Chicken, Onion chicken and Spicy chicken."
IKEJA HOTEL PLC,IKEJAHO,SERVICES,"Ikeja Hotel Plc is a hotel development and management company. The Company's portfolio consists of over five select service hotels and full service hotels comprising over 1300 rooms in leisure, business and convention markets across Nigeria. The Company's hotels are located in Opebi, Ikeja, Lagos. Its development and management service covers a range of hospitality from limited service and extended-stay to historic-boutique, and full-service hotels featuring restaurants and banquet center. The Company's hospitality business includes hotel and restaurant operations, hotel development and construction management, accounting services, casino, recreational centers, conferences (halls and decorations) and offshore/onshore catering services. The Company seeks to capitalize on its expertise in acquiring, developing, repositioning, renovating and operating hotels by selecting various opportunities in markets."
INDUSTRIAL & MEDICAL GASES NIGERIA PLC,IMG,NATURAL RESOURCES,"Industrial and Medical Gases Nigeria Plc is a Nigeria-based company. The Company is engaged into industrial and medical gas production as well as sale of special gases, welding and medical equipment."
INFINITY TRUST MORTGAGE BANK PLC [BLS],INFINITY,FINANCIAL SERVICES,"Infinity Trust Mortgage Bank Plc provides mortgage banking, construction finance, and other financial intermediation services to corporate and individual customers in Nigeria. It offers residential and commercial mortgage financing services. The company was formerly known as INFINITY TRUST SAVINGS and LOANS LIMITED and changed its name to Infinity Trust Mortgage Bank Plc in January 2013. Infinity Trust Mortgage Bank Plc was incorporated in 2002 and is headquartered in Abuja, Nigeria."
INTERNATIONAL BREWERIES PLC. [BLS],INTBREW,CONSUMER GOODS,"International Breweries Plc is a Nigeria-based company engaged in brewing, packaging and marketing of beer, alcoholic flavored/non-alcoholic beverages and soft drinks. The Company operates through Nigeria segment."
INTERNATIONAL ENERGY INSURANCE PLC [MRS],INTENEG,FINANCIAL SERVICES,"International Energy Insurance Plc is an insurance company. The Company is engaged in the business of providing non-life insurance for individuals and registered companies. It focuses on energy-sector and provides underwriting solutions for offshore, onshore, as well as general business risks. The Company's activities include insurance underwriting, claims administration and management of liquidity by investing the surplus in fixed deposits, bonds and treasury bills. The Company provides travel and health insurance policy. It offers various products, including motor insurance, burglary/theft insurance, marine insurance, energy insurance, goods in transit insurance, plant and equipment insurance, money insurance, contractors all risks insurance, personal/group accident insurance and aviation insurance. Its offers policies, including Online Motor Insurance Third Party, Online Autocare Motor Insurance Comprehensive, Comprehensive Motor Insurance and Homecare."
JAIZ BANK PLC,JAIZBANK,FINANCIAL SERVICES,"Jaiz Bank Plc provides non-interest banking services in Nigeria. It offers savings, current, domiciliary, investment, and term deposit accounts. The company also provides auto, household appliances, consumer, home, working capital, project, construction, equity-based, agricultural, import, and export financing services, as well as school fee, rent, hospital bill, medical bill, and other financing services. In addition, it offers various cards; investment products; and leasing, bond and guarantee, forex, point of sale, and automated teller machine services, as well as online, mobile, and SMS banking services. Jaiz Bank Plc was incorporated in 2003 and is headquartered in Abuja, Nigeria."
JAPAUL GOLD & VENTURES PLC,JAPAULGOLD,OIL AND GAS,"Japaul Gold and Ventures Plc, formerly Japaul Oil and Maritime Services Plc, is a Nigeria-based company, which is focused on mining business and technology development. The Company's services include mining, dredging, offshore/vessel chartering and technology. Its mining service is engaged in solid mineral mining with interest in minerals, such as gold, tin, copper, lithium, lead, zinc and hard rock. The Company's dredging business offers complete dredging solutions, such as reclamation, shore protection, stockpiling, breakwater construction, sweeping of access sites and slots and river crossing. The Company's vessel chartering offers fleet of vessels, such as offshore support vessels (OSVs), anchor handling tug supply vessels (AHTS) and diving support vessels. It provides its services to the offshore oil and gas, and shipping industries. The Company's technology services provide technology and enterprise solution services to support governmental, services and manufacturing industries."
JOHN HOLT PLC. [MRF],JOHNHOL,CONGLOMERATES,"John Holt Plc is a Nigeria-based company engaged in assembly, sale, leasing and servicing of power and cooling equipment; sale and servicing of fire fighting vehicles and equipment; sale and servicing of marine equipment; marine transport; warehousing and distribution, and property services and construction. The Company's operating segments include Technical Products and Leasing Services, which include Holt Engineering, Holt Services, Holt Cooling, and Fire and safety solutions; Property, Warehousing and central, which consists of Merchandising Retail Distribution Services (MRDS), John Holt Investment, JALLACO Limited, HPL Limited, Africa Properties (Nigeria) Limited, Holt Engineering Limited and West African Drug Company Limited, and Yamaco. The Company provides a range of services from installation and after sales services of all products, including sales and servicing of high capacity diesel generators, marine leasing, fire protection, boats building and fabrication."
JULI PLC.,JULI,SERVICES,"Juli plc engages in the sale of pharmaceutical and household consumer goods. It also engages in the production and marketing of table and sachet water under Juli Life brand name. The company was formerly known as Juli Pharmacy Plc and changed its name to Juli Plc in August 1991. Juli Plc was incorporated in 1972 and is based in Ikeja, Nigeria."
JULIUS BERGER NIG. PLC. [CG+],JBERGER,CONSTRUCTION/REAL ESTATE,"Julius Berger Nigeria Plc is a construction company, which offers integrated solutions and related services. The principal activities of the Company are the business of planning and construction of all kinds of civil engineering works. It operates through three segments: Civil works, Building works and Services. The Civil works segment is engaged in the provision of professional services in the areas of engineering, construction and maintenance of various infrastructures. The Civil works segment also builds or refurbishes airports in conformity with global aviation regulations. For the oil, gas and energy sector, the Civil works segment designs and constructs auxiliary buildings for factories, oil and gas installations and power stations. The Building works segment designs and builds administration, commercial and industrial buildings, hotels, hospitals, airport terminals, sports facilities and residential districts. The Services segment provides facility management solutions."
LAFARGE AFRICA PLC. [CG+],WAPCO,INDUSTRIAL GOODS,"Lafarge Africa Plc is a building materials company. The Company's segments include Nigeria and South Africa. Its subsidiaries include Lafrage Ready Mix Nigeria Limited, AshkaCem Plc, Atlas Cement Company Limited, LSAH, The United Cement Company of Nigeria Ltd (UniCem) and Egyptian Cement Holdings (ECH). Lafrage Ready Mix Nigeria Limited is in the business of producing ready mix concrete for the construction industry. The Company, through its Lafrage Ready Mix Nigeria Limited operations with eight batching plants, is producing concrete and aggregates solutions from its various locations in Nigeria. LSAH is a holding company. AshakaCem Plc is a cement manufacturing company. UniCem is a cement manufacturer and supplier of cement. UniCem has a production capacity of 2.5 million tons. WAPCO Operations is the South-West operations of Lafarge Africa Plc. The product portfolio includes five products, such as Elephant Cement, Supaset Cement, Powermax, Etex and Sulfate Resistant Cement (SRC)."
LASACO ASSURANCE PLC.,LASACO,FINANCIAL SERVICES,"LASACO Assurance Plc is an insurance and financial services company in Nigeria. The Company is engaged in the provision of various classes of insurance, such as general accident, fire, motor, engineering, marine, bond insurances and life assurance businesses. It also transacts insurance business for aviation, oil and gas and other special risks. It operates through two segments: Non-life business and Life business. The Company's business portfolio includes leadership and share of Federal and State Governments' Insurance businesses, multinational and private companies' underwriting businesses in various sectors, including heavy engineering, construction, banking and finance, manufacturing, agriculture, tourism and aerospace. It offers a range of insurance services, including motor insurance, aviation insurance, marine insurance, bond insurance, money insurance, professional indemnity, householders' insurance, personal accident insurance, and fire and special peril insurance."
LEARN AFRICA PLC,LEARNAF,SERVICES,"Learn Africa Plc is engaged in publishing and distribution of educational materials for all levels of learning, including nursery, primary, secondary and tertiary. The Company operates in the publishing of books segment. It markets reference, professional and general reading materials. It offers teacher training/development programs, digital content provisioning and educational consultancy services. Its publication categories include pre-primary, primary, secondary, tertiary and professional. Its pre-primary products include wall charts, dictionaries, nursery rhymes, activity books and supplementary readers. Its primary category includes agricultural science, civic education and computer studies books. Its secondary category products include accounting, agricultural science, Arabic, basic science, biology, business studies and chemistry books. Its territorial category includes Industrial Relations in Nigeria, Nigerian English Usage and Research Methodology In Behavioural Sciences."
LINKAGE ASSURANCE PLC,LINKASS,FINANCIAL SERVICES,"Linkage Assurance PLC is a Nigeria-based insurance service provider company. The Company's business insurance classes include automobile, property, general accident, liability group, compulsory insurances, oil and gas, marine and aviation, and engineering. Its retail and direct insurance solutions include Purple Motor Plan, Estate Insurance Plan, Citadel Shield Plan, Shop Comprehensive Plan, Event Insurance Xclusive and SME Comprehensive Plan. Its online insurance services include marine insurance and motor insurance. Its automobile insurance provides cover for loss or damage resulting from ownership and use of all forms of automobile vehicles licensed to operate on Nigerian road, as well as the associated third-party bodily injury and property damage liabilities. Its Linkage Purple Motor Plan provides insurance solutions to individuals and corporate organizations with a focus on women. The Linkage Citadel Plus is a group personal accident scheme designed for education establishments."
LIVESTOCK FEEDS PLC.,LIVESTO,AGRICULTURE,"Livestock Feeds PLC is engaged in the manufacturing and marketing of animal feeds and concentrates. The Company operates through four segments: Aba, Ikeja, Benin and Northern operations. The Company offers finished feeds, including chicks mash, growers mash, layers mash, hybrid breeder, broiler/starter mash, broiler/finisher mash, super broiler/starter mash, super broiler/finisher mash, broiler breeder, turkey starter mash, turkey grower, turkey finisher, duck starter, duck finisher, cockrel starter, cockerel finisher, pig creep pellet, pig weaner, pig fattener, pig breeder, mouse cubes, rabbit pellets, dairy cubes, horse/pony cubes, sheep/goat ration, beef cattle ration, dog/pet food and grass cutter pellet, and 30% concentrates, including chicks concentrates, growers concentrates, layers concentrates, hybrid breeder concentrates, broiler starter concentrates, broiler finisher concentrates and broiler breeder concentrates."
LIVINGTRUST MORTGAGE BANK PLC [BLS],LIVINGTRUST,FINANCIAL SERVICES,"Livingtrust Mortgage Bank PLC provides residential and commercial mortgage financing services in Nigeria. It offers national housing fund mortgage, home mortgage, individual mortgage, corporate mortgage, construction, and other loans. The company also provides home ownership, savings, children, gold personal and corporate, and access accounts, as well as term, fixed, and call deposits. The company was formerly known as Omoluabi Mortgage Bank Plc and changed its name to Livingtrust Mortgage Bank PLC in November 2020. Livingtrust Mortgage Bank PLC was incorporated in 1993 and is headquartered in Osogbo, Nigeria."
MAY & BAKER NIGERIA PLC.,MAYBAKER,HEALTHCARE,"May & Baker Nigeria Plc is a Nigeria-based company, which is involved in the manufacture, sale and distribution of human pharmaceuticals, human vaccines and consumer products. The Company's operating segments include Pharmaceuticals, Beverage and Foods. Its Pharmaceuticals segment is involved in the production and sale of human pharmaceuticals and human vaccines. Its Beverage segment is involved in the production of beverage drinks, including bottled water. Its Foods segment is involved in the production of package foods, including noodles. The Company offers pharmaceutical products for anti-diabetics, anti-hypertensive, anti-infectives, anti-malaria, analgesic, cough and cold, multivitamin and anxiolytics. Its anti-diabetic's products are sold under Diatab and Diamet brands. Its anti-hypertensive products are sold under Cardovasc Retard and Ramitace brands. Its food products are sold under the Mimee brand. Its beverages sector is engaged in the bottling of Lily brand of table water."
MCNICHOLS PLC,MCNICHOLS,CONSUMER GOODS,"McNichols PLC manufactures and sells food and beverage products. It operates through Food Products and Beverages segments. The Food Products segment produces and sells custard products, farm products, and pancake house foods. The Beverages segment produces and sells sugar products; and chocolate flavoured milk, tea, and milk products. It markets and sells its products through distributors in Nigeria. The company was incorporated in 2004 and is based in Lagos, Nigeria."
MEDVIEW AIRLINE PLC [BMF],MEDVIEWAIR,SERVICES,"Med-View Airline PLC, formerly Medview Airlines Limited, operates airlines. The Company carries out its domestic operations with a fleet of approximately two Boeing 737-400 aircraft and a Boeing 737-800 aircraft. The Company is focused on operating regional and international air services. The Company offers a range of passenger and cargo services, such as domestic operations, travel agent, cargo import/export, procurement and obtaining travel document , warehousing, airport protocol services, ground handling, aircraft charter, road feeder service (RFS), and maintenance and support. It assists in procuring travelling documents, such as visa, passport and immigration document for international travel and tourist needs. It offers services ranging from public warehousing to dedicated/contract warehousing. The Company provides ground handling services, such as ramp service, passenger service and cargo facilitation."
MORISON INDUSTRIES PLC.,MORISON,HEALTHCARE,"Morison Industries Plc is engaged in the production and marketing of pharmaceuticals and hygiene products. The Company's pharmaceuticals and hygiene products include Morigade range of disinfectants; the importation and distribution of medical, surgical and hospital equipment, and consumables made by various companies. Its range of information technology solutions and services include enterprise business applications, servers and networking infrastructure, and power systems engineering. It allows supply and installation of telecom and computer equipment, medical or surgical equipment and furniture, pharmaceuticals and disinfectants, and medical consumables. Its business products are classified under woundcare solutions and bone graft, among others. Its wound management business offers a range of products, such as initial wound bed preparation and full wound closure. Its division, Morison Agro Allied, focuses on agricultural and farm management techniques."
MRS OIL NIGERIA PLC.,CHEVRON,OIL AND GAS,"MRS Oil Nigeria Plc is a Nigeria-based company engaged in the business of marketing and distribution of refined petroleum products, blending of lubricants and manufacturing of greases. The Company operates through three segments: Retail/Commercial & Industrial, Aviation and Lubricants. The Retail/Commercial & Industrial segment is engaged in the sale and distribution of petroleum products (refined products) to retail customers and industrial customers. The Aviation segment is engaged in the sale of Aviation Turbine Kerosene (ATK). The Lubricants segment manufactures and sells lubricants and greases. The Company's fuels product lines include petroleum motor spirit (PMS), automotive gas oil (AGO), dual purpose kerosene (DPK), aviation kerosene (ATK) and low pour fuel oil (LPFO). Its lubricants product lines include petrol engine, diesel engine, greases, automotive gear oil and industrial oils."
MTN NIGERIA COMMUNICATIONS PLC [CG+],MTNN,ICT,"MTN Nigeria Communications PLC provides broadband fixed wireless access, telecommunication, and mobile financial services in Nigeria. It offers mobile telecommunications services, such as network, value added, and digital services. The company’s network services include voice, data, and SMS; value added services comprise airtime lending, mobile money, subscriber identification module back up services, and voice-based services; and digital services consists of unstructured supplementary service data, interactive voice response, rich media, insurance, and e-commerce services. It also sells mobile devices and accessories, as well as provides interconnect and roaming services. The company was incorporated in 2000 and is based in Lagos, Nigeria. MTN Nigeria Communications PLC is a subsidiary of MTN International (Mauritius) Limited."
MULTI-TREX INTEGRATED FOODS PLC [DIP],MULTITREX,CONSUMER GOODS,"Multi-Trex Integrated Foods Plc engages in the processing of cocoa beans, exportation of industrial cocoa products, and manufacture and marketing of cocoa-based consumer products. Its products include cocoa liquor, cocoa cake, cocoa butter, cocoa powder, and chocolate powder. The company exports its products primarily to Europe. Multi-Trex Integrated Foods Plc is based in Abeokuta, Nigeria."
MULTIVERSE MINING AND EXPLORATION PLC,MULTIVE,NATURAL RESOURCES,"Multiverse Resources Plc is engaged in the business of exploring, extracting, prospecting, boring, refining, drilling for, producing, and quarry mining of stones and other extractive solid minerals (mainly Lead and Zinc) into various configuration and classification. The Company's production sites include Azara/Abuni, Nassarawa State (Solid Minerals Mining); Oloparun Site, Abeokuta, Ogun State (Granite Quarry); Alaguntan Site, Abeokuta, Ogun State (Granite Quarry), and Apo Site, Abuja, Federal Capital Territory (Granite Quarry). The Company's mining properties include EL 3187 (Lead, Zinc and Silver), ML 14646 (Lead, Zinc and Silver), SSML 14999 (Lead, Zinc and Silver), EL 16999 (Gold and Tantalite), EL 16879 (Lead, Zinc and Silver), EL 16994 (Copper and Silver) and EL 14946 (Barite)."
MUTUAL BENEFITS ASSURANCE PLC.,MBENEFIT,FINANCIAL SERVICES,"Mutual Benefits Assurance Plc is engaged in general and life insurance underwriting, risk management and provision of financial services. The Company operates through four segments: General business, which covers the protection of customers' assets and indemnification of other parties; Life business, which covers the protection of customers against risk of premature death, disability, critical illness and other accidents; Real Estate, which includes undertaking real estate development project with the aim of outright sale or lease of the properties to meet the needs of individual and corporate bodies, and Microfinance Bank, which includes provision of retails and microfinance banking services at the community level. It offers general business products, including Property Insurance, Fire and Special Perils, Professional Indemnity, Liability/Bond Insurance and Goods-in-Transit, and life insurance products, such as Personal Insurance, Keyman Assurance and Mortgage Protection."
N NIG. FLOUR MILLS PLC.,NNFM,CONSUMER GOODS,"Northern Nigeria Flour Mills Limited, formerly Northern Nigeria Flour Mills Plc, is a Nigeria-based company, which is engaged in milling of wheat and other associated grains. The Company is also engaged in the sale of other Golden product products purchased from Flour Mills of Nigeria Plc, which is its parent company. The Company's segments include wheat/maize products segment and other Golden Penny products segment. The wheat/maize products segment is engaged in the milling and sale of wheat/maize products (wheat/maize products segment). The other Golden Penny products segment is engaged in the sale of other Golden Penny products. The Company's wheat/maize products include wheat flour, semovita, wheat offal, masaflour, germ flour, masavita and corn offal. The Company offers a range of Golden Penny products, such as Golden penny flour confectionery, Golden penny sugar and Golden penny rice. The Company's factory is located at No 15 Maimalari Road, Bompai in Kano, Nigeria."
NASCON ALLIED INDUSTRIES PLC,NASCON,CONSUMER GOODS,"Nascon Allied Industries Plc is involved in salt refining and distribution. The Company is engaged in the processing of raw salt into refined, edible and industrial salt. The Company produces seasoning, tomato paste and vegetable oil, operating principally in Nigeria. It also produces other food-related products. Its segments include Salt, Seasoning, Tomato, Vegetable Oil and Freight income. Salt retail packs come in various sizes, such as 250grams, 500grams and one kilogram, and are sold under the brand name DANGOTE REFINED SALT. Seasoning are sold under the brand name DANQ, Tomato is sold as DANGOTE TOMATO PASTE, and Vegetable Oil is sold as DANGOTE VEGETABLE OIL. The Company sells its products directly to distributors who redistribute to small wholesalers, confectioners, supermarkets and retailers. The Company provides freight services to customers by transporting salt, tomato paste and vegetable oil purchased to their destinations."
NCR (NIGERIA) PLC.,NCR,ICT,"NCR (Nigeria) Plc provides technology and services that help businesses to connect, interact, and transact with their customers in Nigeria. The company operates through Financial Service Group, and World Customer Services segments. It offers automated teller machines (ATM), ATM value-add software, retail point of sales (POS) terminals, self-service kiosks, and self-check-in/out systems. The company also provides hardware and software installation and maintenance services; site assessment and preparation, staging, installation and implementation, systems management, and managed services of third-party products. In addition, it offers financial and retail solutions for ATM application, security solutions, fraud management, transaction switching, predictive platform, cash management, mobile banking, online banking, ATM network monitoring, transaction monitoring, reconciliation, image and electronic journal management, enterprise data warehousing, and others. Further, the company provides consumables, including two-sided thermal paper, paper rolls for receipts in ATMs and POS solutions, inkjet and laser printer supplies, thermal transfer and ink ribbons, labels, laser documents, business forms, and specialty media items; data warehouse and business intelligence solutions; and electronic cheque processing and image capture solutions. It serves customers in the areas of financial services, retail and hospitality, healthcare, travel and gaming, and entertainment industries. The company was founded in 1949 and is headquartered in Lagos, Nigeria. NCR (Nigeria) Plc is a subsidiary of NCR Corporation."
NEIMETH INTERNATIONAL PHARMACEUTICALS PLC [CG+],NEIMETH,HEALTHCARE,"Neimeth International Pharmaceuticals Plc manufactures and markets pharmaceutical, animal health, and general healthcare products in Nigeria and Ghana. It operates through Pharmaceuticals and Animal Health segments. The company provides health care, ethical, and veterinary products. Neimeth International Pharmaceuticals Plc was incorporated in 1957 and is headquartered in Lagos, Nigeria."
